cbo_dom,occ_pnadc
0,0
200,110
200,210
200,299
403,411
412,412
502,511
513,512
0,599
0,999
1111,1111
1123,1112
1130,1113
1140,1114
1210,1120
1320,1211
1320,1212
1310,1213
1320,1219
1320,1221
1320,1222
1320,1223
1310,1311
1310,1312
1310,1321
1310,1322
1310,1323
1310,1324
1310,1330
1220,1341
1310,1342
1210,1343
1220,1344
1220,1345
1310,1346
1310,1349
1310,1411
1310,1412
1310,1420
1310,1431
1310,1439
2131,2111
2133,2112
2132,2113
2134,2114
2112,2120
2211,2131
2221,2132
2211,2133
2144,2141
2142,2142
2142,2143
2144,2144
2145,2145
2146,2146
2149,2149
2143,2151
2143,2152
2143,2153
2141,2161
2141,2162
3189,2163
2141,2164
2148,2165
3189,2166
2231,2211
2231,2212
2235,2221
2235,2222
2231,2230
2231,2240
2233,2250
2232,2261
2234,2262
0,2263
2236,2264
2237,2265
2236,2266
3223,2267
2236,2269
2340,2310
2330,2320
2321,2330
2313,2341
2311,2342
2394,2351
2392,2352
3331,2353
3331,2354
3331,2355
3331,2356
3331,2359
2522,2411
1320,2412
2512,2413
2521,2421
2521,2422
2524,2423
2524,2424
2531,2431
2531,2432
3541,2433
5211,2434
2124,2511
2123,2512
2121,2513
3171,2514
2121,2519
2123,2521
2124,2522
2124,2523
2123,2529
2410,2611
2421,2612
3514,2619
2613,2621
2612,2622
2512,2631
2511,2632
2514,2633
2515,2634
2516,2635
2631,2636
2615,2641
2611,2642
2614,2643
2625,2651
2624,2652
2622,2653
2621,2654
2623,2655
2617,2656
3763,2659
3011,3111
3123,3112
3131,3113
3134,3114
3141,3115
3111,3116
3146,3117
3189,3118
3911,3119
7101,3121
7201,3122
7102,3123
8611,3131
8622,3132
8113,3133
8110,3134
8212,3135
3115,3139
2211,3141
3211,3142
3210,3143
2152,3151
3412,3152
3411,3153
3425,3154
3425,3155
3241,3211
3242,3212
3251,3213
3224,3214
3222,3221
5151,3222
3221,3230
6239,3240
3224,3251
4110,3252
5151,3253
3223,3254
3221,3255
2237,3256
3516,3257
3222,3258
3221,3259
3532,3311
4132,3312
3511,3313
3512,3314
3544,3315
3545,3321
3541,3322
3542,3323
3541,3324
3422,3331
0,3332
3513,3333
3546,3334
3541,3339
4101,3341
3514,3342
3513,3343
4221,3344
3515,3351
3515,3352
3515,3353
3522,3354
3518,3355
3522,3359
2410,3411
5151,3412
2631,3413
3772,3421
3771,3422
2391,3423
3722,3431
2627,3432
2613,3433
5101,3434
4151,3435
3172,3511
3171,3512
3171,3513
2123,3514
3741,3521
3135,3522
4110,4110
4121,4120
4122,4131
4122,4132
4212,4211
4213,4212
0,4213
4214,4214
3548,4221
4223,4222
4222,4223
4221,4224
4221,4225
4221,4226
4241,4227
4221,4229
4131,4311
4132,4312
4142,4313
4141,4321
4142,4322
3421,4323
4151,4411
4152,4412
7661,4413
4231,4414
4151,4415
4110,4416
4110,4419
5111,5111
5112,5112
5114,5113
5132,5120
5134,5131
5134,5132
5161,5141
5161,5142
5101,5151
5131,5152
5174,5153
5167,5161
5162,5162
5165,5163
6239,5164
3331,5165
5198,5168
5199,5169
5242,5211
5243,5212
5211,5221
5201,5222
5211,5223
4211,5230
3765,5241
5241,5242
5241,5243
4223,5244
5211,5245
5134,5246
3541,5249
5162,5311
3341,5312
5151,5321
5162,5322
5152,5329
5171,5411
5172,5412
5173,5413
5173,5414
5172,5419
6229,6111
6229,6112
6229,6114
6239,6121
6239,6122
6139,6123
6139,6129
6239,6130
6329,6210
6319,6221
6319,6224
6319,6225
7152,7111
7152,7112
7122,7113
7153,7114
7155,7115
7170,7119
7162,7121
7165,7122
7164,7123
7157,7124
7163,7125
7241,7126
9112,7127
7166,7131
9913,7132
9914,7133
7223,7211
7243,7212
7244,7213
7153,7214
7246,7215
7221,7221
7211,7222
7212,7223
7214,7224
9144,7231
9141,7232
9113,7233
9193,7234
7411,7311
7421,7312
7519,7313
8281,7314
7522,7315
7686,7316
2625,7317
7681,7318
7244,7319
7661,7321
7686,7322
7663,7323
7156,7411
9511,7412
7321,7413
9511,7421
7313,7422
8485,7511
8493,7512
8492,7513
8491,7514
6229,7515
8421,7516
7721,7521
7711,7522
7733,7523
7630,7531
7631,7532
7682,7533
7652,7534
7623,7535
7641,7536
7817,7541
7111,7542
3912,7543
6229,7544
3223,7549
7111,8111
7112,8112
7113,8113
8233,8114
7222,8121
7233,8122
8118,8131
7664,8132
9921,8141
8117,8142
8339,8143
7612,8151
7613,8152
7632,8153
7614,8154
7623,8155
7642,8156
5169,8157
7652,8159
8411,8160
8321,8171
7731,8172
8232,8181
8621,8182
7841,8183
7246,8189
7252,8211
7311,8212
7741,8219
7826,8311
7831,8312
7823,8321
7820,8322
7824,8331
7825,8332
6410,8341
7151,8342
7821,8343
7822,8344
7827,8350
5121,9111
5142,9112
5169,9121
5199,9122
5142,9123
5199,9129
6229,9211
6239,9212
6210,9213
6229,9214
6329,9215
6319,9216
7114,9311
7152,9312
7170,9313
7841,9321
8711,9329
5191,9331
7828,9332
7832,9333
5221,9334
5132,9411
5132,9412
5199,9510
5243,9520
5142,9611
5192,9612
5142,9613
5191,9621
5199,9622
5199,9623
5243,9624
5199,9629
