cbo_dom,occ_90s
100,861
100,862
300,911
501,863
1111,20
1113,231
1122,21
1130,927
1140,39
1210,30
1210,31
1210,32
1210,33
1210,34
1210,35
1210,36
1210,37
1210,38
1219,7
1219,8
1219,9
1219,10
1219,11
1219,12
1219,15
1220,261
1310,40
1310,601
1310,811
1310,815
2011,101
2011,142
2012,64
2111,171
2111,172
2112,203
2121,113
2122,173
2123,194
2131,123
2131,131
2132,121
2133,125
2134,124
2141,102
2145,402
2145,405
2148,103
2148,104
2151,721
2151,722
2153,218
2153,711
2211,143
2221,141
2231,151
2232,152
2233,144
2234,122
2235,153
2236,154
2236,163
2236,164
2311,217
2312,214
2312,215
2321,213
2330,219
2340,211
2340,212
2340,221
2391,834
2410,233
2412,232
2419,293
2423,864
2511,201
2512,181
2513,205
2515,202
2516,204
2521,183
2522,50
2522,182
2522,191
2523,59
2531,645
2612,291
2613,292
2613,852
2617,278
2621,279
2622,276
2624,275
2625,111
2625,271
2625,272
2627,273
2631,251
2631,252
3115,133
3116,403
3117,450
3117,589
3121,112
3123,924
3131,503
3134,504
3134,505
3135,507
3141,425
3161,401
3163,361
3172,57
3172,58
3189,473
3189,476
3189,478
3210,302
3211,304
3221,824
3222,161
3222,162
3224,167
3241,165
3242,168
3250,543
3251,132
3312,216
3331,926
3341,222
3412,322
3413,506
3413,727
3423,761
3424,741
3424,742
3512,192
3512,193
3514,52
3514,241
3514,242
3514,243
3514,244
3515,918
3516,588
3517,641
3517,644
3518,865
3518,868
3522,917
3525,51
3531,643
3541,602
3541,631
3541,632
3541,633
3542,646
3546,642
3721,280
3722,274
3723,773
3723,774
3731,282
3741,281
3742,283
3763,277
3765,605
3772,831
3772,832
3773,833
3911,571
4102,53
4102,54
4102,60
4121,56
4123,845
4141,55
4141,545
4141,914
4151,61
4151,62
4152,771
4152,772
4152,775
4211,63
4211,603
4211,912
5101,813
5101,816
5101,817
5101,818
5101,841
5102,825
5103,869
5103,913
5111,712
5111,726
5112,752
5121,801
5121,804
5121,805
5121,807
5121,808
5131,806
5132,803
5133,812
5134,814
5141,751
5141,842
5141,844
5142,919
5142,920
5151,166
5161,821
5161,822
5161,823
5162,802
5172,866
5173,843
5173,867
5199,826
5199,915
5199,916
5221,604
5241,617
5242,14
5242,542
5242,611
5242,621
5243,13
5243,612
5243,613
5243,614
5243,615
5243,616
6110,1
6110,5
6110,301
6129,335
6139,2
6139,3
6139,4
6229,584
6301,331
6319,6
6319,305
6319,321
6329,332
6329,333
6329,334
6329,336
6410,303
7102,404
7111,341
7111,345
7111,351
7113,391
7114,371
7114,381
7122,516
7122,578
7151,521
7152,512
7152,515
7152,519
7153,511
7155,482
7156,508
7163,518
7166,514
7166,520
7170,513
7201,415
7211,418
7212,417
7212,421
7212,422
7212,423
7212,424
7213,419
7213,420
7213,426
7213,429
7214,416
7221,411
7221,529
7223,414
7224,413
7233,581
7241,427
7241,517
7244,428
7244,430
7244,431
7311,501
7311,502
7411,572
7421,561
7519,573
7523,562
7524,563
7601,441
7601,442
7601,446
7601,447
7603,470
7603,474
7612,443
7612,445
7612,485
7613,444
7613,448
7613,449
7614,451
7614,452
7620,462
7630,471
7632,472
7640,477
7650,461
7652,487
7652,488
7660,554
7661,551
7661,552
7661,553
7661,555
7661,557
7663,556
7681,475
7683,479
7711,481
7711,483
7721,585
7732,486
7733,484
7751,489
7764,490
7764,577
7821,731
7822,582
7822,732
7826,743
7826,923
7827,725
7828,539
7828,753
7831,745
7831,746
8113,544
8117,575
8117,586
8121,576
8181,827
8213,412
8231,564
8232,583
8233,587
8411,538
8416,541
8417,540
8421,579
8423,580
8485,532
8485,533
8491,531
8491,534
8493,535
8493,536
8493,537
8601,724
8611,509
8621,723
8621,744
8622,922
9191,921
9911,762
9921,574
9922,925
